"","latitude","longitude","brightness","scan","track","acq_date","acq_time","version","bright_t31","frp","daynight","bright_ti4","bright_ti5"
"179",-9.632,-44.456,311.6,1.1,1,"2020-10-22",140,"6.0NRT",298.8,7.4,"N",NA,NA
"180",-9.637,-44.486,317,1.1,1,"2020-10-22",140,"6.0NRT",298.5,12.2,"N",NA,NA
"181",-10.285,-49.117,308,1.3,1.1,"2020-10-22",140,"6.0NRT",296.5,8.3,"N",NA,NA
"182",-10.587,-51.494,307.9,1.9,1.3,"2020-10-22",140,"6.0NRT",293.6,15.7,"N",NA,NA
"183",-9.509,-43.699,305.7,1.2,1.1,"2020-10-22",140,"6.0NRT",295.6,5.8,"N",NA,NA
"184",-9.51,-43.709,308.4,1.2,1.1,"2020-10-22",140,"6.0NRT",296.1,8.1,"N",NA,NA
"185",-10.594,-51.5,305.6,1.9,1.3,"2020-10-22",140,"6.0NRT",293.1,12.5,"N",NA,NA
"186",-10.031,-48.087,308.1,1.1,1.1,"2020-10-22",140,"6.0NRT",295.5,7,"N",NA,NA
"187",-9.535,-44.72,310.8,1.1,1,"2020-10-22",140,"6.0NRT",298.3,8.9,"N",NA,NA
"188",-9.536,-44.73,312.6,1.1,1,"2020-10-22",140,"6.0NRT",298.8,10.3,"N",NA,NA
"189",-9.525,-44.722,312.1,1.1,1,"2020-10-22",140,"6.0NRT",297.6,10.2,"N",NA,NA
"190",-9.559,-45.141,306.1,1,1,"2020-10-22",140,"6.0NRT",292.9,6,"N",NA,NA
"191",-9.897,-47.664,313.2,1.1,1,"2020-10-22",140,"6.0NRT",297.5,8.3,"N",NA,NA
"192",-10.04,-49.193,308.7,1.3,1.1,"2020-10-22",140,"6.0NRT",295.8,9.2,"N",NA,NA
"193",-9.611,-46.202,311.5,1,1,"2020-10-22",140,"6.0NRT",294.3,9.3,"N",NA,NA
"194",-9.612,-46.212,306.1,1,1,"2020-10-22",140,"6.0NRT",293.9,5.6,"N",NA,NA
"195",-10.602,-53.907,301.9,2.9,1.6,"2020-10-22",140,"6.0NRT",291.6,15.3,"N",NA,NA
"196",-9.821,-47.826,312.4,1.1,1,"2020-10-22",140,"6.0NRT",296.9,10.4,"N",NA,NA
"197",-9.912,-48.918,309,1.2,1.1,"2020-10-22",140,"6.0NRT",295.8,9.6,"N",NA,NA
"198",-9.227,-44.27,310.2,1.1,1,"2020-10-22",140,"6.0NRT",299.1,6.5,"N",NA,NA
"199",-9.345,-45.062,309.9,1,1,"2020-10-22",140,"6.0NRT",296.2,6.4,"N",NA,NA
"200",-9.346,-45.071,329.1,1,1,"2020-10-22",140,"6.0NRT",298,26.1,"N",NA,NA
"201",-9.347,-45.081,308,1,1,"2020-10-22",140,"6.0NRT",297.1,5.3,"N",NA,NA
"202",-9.335,-45.051,305.7,1,1,"2020-10-22",140,"6.0NRT",295,5.2,"N",NA,NA
"203",-9.337,-45.069,317.2,1,1,"2020-10-22",140,"6.0NRT",297.5,13.5,"N",NA,NA
"204",-9.339,-45.079,308.8,1,1,"2020-10-22",140,"6.0NRT",297.6,6.7,"N",NA,NA
"205",-9.638,-47.18,315.5,1,1,"2020-10-22",140,"6.0NRT",297.3,11.6,"N",NA,NA
"206",-9.629,-47.181,309.1,1,1,"2020-10-22",140,"6.0NRT",296.4,7.1,"N",NA,NA
"207",-10.498,-54.064,304,3,1.6,"2020-10-22",140,"6.0NRT",290.9,20.9,"N",NA,NA
"208",-10.502,-54.09,315.9,3,1.6,"2020-10-22",140,"6.0NRT",290.8,62.4,"N",NA,NA
"209",-9.665,-47.845,309,1.1,1,"2020-10-22",140,"6.0NRT",296.7,6.4,"N",NA,NA
"210",-9.657,-47.856,307.7,1.1,1,"2020-10-22",140,"6.0NRT",296.7,5.3,"N",NA,NA
"211",-9.258,-45.22,308.2,1,1,"2020-10-22",140,"6.0NRT",297,5.9,"N",NA,NA
"212",-9.267,-45.285,306.1,1,1,"2020-10-22",140,"6.0NRT",295.6,5.4,"N",NA,NA
"213",-9.284,-45.593,312.4,1,1,"2020-10-22",140,"6.0NRT",296.4,9.2,"N",NA,NA
"214",-9.506,-47.357,315.2,1,1,"2020-10-22",140,"6.0NRT",296.8,11.7,"N",NA,NA
"215",-9.439,-46.941,313.2,1,1,"2020-10-22",140,"6.0NRT",295.6,10.2,"N",NA,NA
"216",-9.487,-47.35,310.9,1,1,"2020-10-22",140,"6.0NRT",296.4,7.4,"N",NA,NA
"217",-9.478,-47.348,309.3,1,1,"2020-10-22",140,"6.0NRT",296.9,6.7,"N",NA,NA
"218",-9.466,-47.331,306.8,1,1,"2020-10-22",140,"6.0NRT",295.8,5,"N",NA,NA
"219",-9.468,-47.34,317,1,1,"2020-10-22",140,"6.0NRT",297.2,13.2,"N",NA,NA
"220",-9.138,-45.159,307.5,1,1,"2020-10-22",140,"6.0NRT",296,5.6,"N",NA,NA
"221",-9.376,-47.407,309.1,1,1,"2020-10-22",140,"6.0NRT",296.9,6.2,"N",NA,NA
"222",-9.377,-47.417,308.8,1,1,"2020-10-22",140,"6.0NRT",297.1,6,"N",NA,NA
"223",-9.529,-48.656,306.4,1.2,1.1,"2020-10-22",140,"6.0NRT",296.3,6.6,"N",NA,NA
"224",-9.587,-49.463,306,1.3,1.1,"2020-10-22",140,"6.0NRT",294.1,6.8,"N",NA,NA
"225",-9.572,-50.428,306,1.5,1.2,"2020-10-22",140,"6.0NRT",295.4,8.7,"N",NA,NA
"226",-8.883,-46.193,307.2,1,1,"2020-10-22",140,"6.0NRT",292.9,6.3,"N",NA,NA
"227",-9.544,-51.094,309.8,1.7,1.3,"2020-10-22",140,"6.0NRT",294.1,14.9,"N",NA,NA
"228",-9.072,-47.726,307.4,1.1,1,"2020-10-22",140,"6.0NRT",296.1,6.4,"N",NA,NA
"229",-9.031,-47.839,308.3,1.1,1,"2020-10-22",140,"6.0NRT",296.3,6.8,"N",NA,NA
"230",-9.032,-47.849,307.9,1.1,1,"2020-10-22",140,"6.0NRT",296,6.5,"N",NA,NA
"231",-8.863,-46.965,308.7,1,1,"2020-10-22",140,"6.0NRT",296.9,6.4,"N",NA,NA
"232",-9.079,-48.717,322.7,1.2,1.1,"2020-10-22",140,"6.0NRT",296.8,23.3,"N",NA,NA
"233",-8.888,-47.537,320.2,1,1,"2020-10-22",140,"6.0NRT",296.4,16.6,"N",NA,NA
"234",-8.889,-47.546,307.7,1,1,"2020-10-22",140,"6.0NRT",295.6,5.9,"N",NA,NA
"235",-8.879,-47.538,305.7,1,1,"2020-10-22",140,"6.0NRT",295.4,4.5,"N",NA,NA
"236",-8.898,-47.68,308.1,1.1,1,"2020-10-22",140,"6.0NRT",295.7,7,"N",NA,NA
"237",-8.359,-44.01,323.8,1.2,1.1,"2020-10-22",140,"6.0NRT",296,24.5,"N",NA,NA
